Sl. No.,Constituency,MP Name,MP Name (Hindi),Initial Party,Date ,New Party,State
1,Araku,Kothapalli Geetha,कोठपल्ली गीता,YSR Congress Party,,,Andhra Pradesh
2,Srikakulam,Ram Mohan Naidu Kinjarapu,राम मोहन नायडू किंजरापु,Telugu Desam Party,,,Andhra Pradesh
3,Vizianagaram,Ashok Gajapathi Raju,अशोक गजपति राजू,Telugu Desam Party,,,Andhra Pradesh
4,Visakhapatnam,Kambhampati Hari Babu,कम्भमपति हरि बाबू,Bharatiya Janata Party,,,Andhra Pradesh
5,Anakapalli,Muttamsetti Srinivasa Rao,मुत्तमसेट्टी श्रीनिवास राव,Telugu Desam Party,,,Andhra Pradesh
6,Kakinada,Thota Narasimham,थोटा नरसिम्हम्,Telugu Desam Party,,,Andhra Pradesh
7,Amalapuram,Pandula Ravindra Babu,पंडुला रवींद्र बाबू,Telugu Desam Party,,,Andhra Pradesh
8,Rajahmundry,Murali Mohan Maganti,मुरली मोहन मगंती,Telugu Desam Party,,,Andhra Pradesh
9,Narasapuram,Gokaraju Ganga Raju,गोकराजू गंगा राजू,Bharatiya Janata Party,,,Andhra Pradesh
10,Eluru,Maganti Venkateswara Rao,मगंती वेंकटेश्वर राव,Telugu Desam Party,,,Andhra Pradesh
11,Machilipatnam,Konakalla Narayana Rao,कोनकल्ला नारायण राव,Telugu Desam Party,,,Andhra Pradesh
12,Vijayawada,Kesineni Srinivas,केसिनेनी श्रीनिवास,Telugu Desam Party,,,Andhra Pradesh
13,Guntur,Galla Jayadev,गल्ला जयदेव,Telugu Desam Party,,,Andhra Pradesh
14,Narasaraopet,Rayapati Sambasiva Rao,रायपति संबशिव राव,Telugu Desam Party,,,Andhra Pradesh
15,Bapatla,Malyadri Sriram,माल्यद्रि श्रीराम,Telugu Desam Party,,,Andhra Pradesh
16,Ongole,Y. V. Subba Reddy,वाई. वी. सुब्बा रेड्डी,YSR Congress Party,,,Andhra Pradesh
17,Nandyal,S. P. Y. Reddy,एस. पी. वाई. रेड्डी,YSR Congress Party,,,Andhra Pradesh
18,Kurnool,Butta Renuka,बुट्टा रेणुका,YSR Congress Party,,,Andhra Pradesh
19,Anantapur,J. C. Diwakar Reddy,जे. सी. दिवाकर रेड्डी,Telugu Desam Party,,,Andhra Pradesh
20,Hindupur,Kristappa Nimmala,क्रिस्तप्पा निम्मला,Telugu Desam Party,,                                                             ,Andhra Pradesh
21,Kadapa,Y. S. Avinash Reddy,वाई. एस. अविनाश रेड्डी,YSR Congress Party,,,Andhra Pradesh
22,Nellore,Mekapati Rajamohan Reddy,मेकापति राजमोहन रेड्डी,YSR Congress Party,,,Andhra Pradesh
23,Tirupati,Varaprasad Rao Velagapalli,वरप्रसाद राव वेलगपल्ली,YSR Congress Party,,,Andhra Pradesh
24,Rajampet,P. V. Midhun Reddy,पी. वी. मिधुन रेड्डी,YSR Congress Party,,,Andhra Pradesh
25,Chittoor,Naramalli Sivaprasad,नरमल्ली शिवप्रसाद,Telugu Desam Party,,,Andhra Pradesh
26,Arunachal West,Kiren Rijiju,किरेन रिजीजू,Bharatiya Janata Party,,,Arunachal Pradesh
27,Arunachal East,Ninong Ering,निनोंग ईरिंग,Indian National Congress,,,Arunachal Pradesh
28,Karimganj,Radheshyam Biswas,राधेश्याम बिस्वास,All India United Democratic Front,,,Assam
29,Silchar,Sushmita Dev,सुष्मिता देव,Indian National Congress,,,Assam
30,Autonomous District,Biren Singh Engti,बीरेन सिंह एंगती,Indian National Congress,,,Assam
31,Dhubri,Badruddin Ajmal,बदरुद्दीन अजमल,All India United Democratic Front,,,Assam
32,Kokrajhar,Naba Kumar Saraniya,नबा कुमार सरनिया,Independent,,,Assam
33,Barpeta,Sirajuddin Ajmal,सिराजुद्दीन अजमल,All India United Democratic Front,,,Assam
34,Gauhati,Bijoya Chakravarty,बिजोया चक्रवर्ती,Bharatiya Janata Party,,,Assam
35,Mangaldoi,Ramen Deka,रमेन डेका,Bharatiya Janata Party,,,Assam
36,Tezpur,Ram Prasad Sharma,राम प्रसाद शर्मा,Bharatiya Janata Party,,,Assam
37,Nowgong,Rajen Gohain,राजेन गोहाइन,Bharatiya Janata Party,,,Assam
38,Kaliabor,Gaurav Gogoi,गौरव गोगोई,Indian National Congress,,,Assam
39,Jorhat,Kamakhya Prasad Tasa,कामाख्या प्रसाद तासा,Bharatiya Janata Party,,,Assam
40,Dibrugarh,Rameswar Teli,रामेश्वर तेली,Bharatiya Janata Party,,,Assam
41.1,Lakhimpur,Sarbananda Sonowal,सर्बानंद सोनोवाल,Bharatiya Janata Party,,,Assam
41.2,Lakhimpur,Pradan Baruah,प्रधान बरुआ,Bharatiya Janata Party,,,Assam
42,Valmiki Nagar,Satish Chandra Dubey,सतीश चंद्र दुबे,Bharatiya Janata Party,,,Bihar
43,Paschim Champaran,Sanjay Jaiswal,संजय जायसवाल,Bharatiya Janata Party,,,Bihar
44,Purvi Champaran,Radha Mohan Singh,राधा मोहन सिंह,Bharatiya Janata Party,,,Bihar
45,Sheohar,Rama Devi,रामा देवी,Bharatiya Janata Party,,,Bihar
46,Sitamarhi,Ram Kumar Sharma,राम कुमार शर्मा,Rashtriya Lok Samta Party,,,Bihar
47,Madhubani,Hukmdev Narayan Yadav,हुकुमदेव नारायण यादव,Bharatiya Janata Party,,,Bihar
48,Jhanjharpur,Birendra Kumar Chaudhary,बिरेंद्र कुमार चौधरी,Bharatiya Janata Party,,,Bihar
49,Supaul,Ranjeet Ranjan,रंजीत रंजन,Indian National Congress,,,Bihar
50.1,Araria,Mohammed Taslimuddin,मोहम्मद तस्लीमुद्दीन,Rashtriya Janata Dal,,,Bihar
50.2,Araria,Sarfaraz Alam,सरफ़राज़ आलम,Rashtriya Janata Dal,,,Bihar
51,Kishanganj,Mohammad Asrarul Haque,मोहम्मद असरारुल हक़,Indian National Congress,,,Bihar
52,Katihar,Tariq Anwar,तारिक अनवर,Nationalist Congress Party,,,Bihar
53,Purnia,Santosh Kumar Kushwaha,संतोष कुमार कुशवाहा,Janata Dal,,,Bihar
54,Madhepura,Rajesh Ranjan (Pappu Yadav),राजेश रंजन (पप्पू यादव),Rashtriya Janata Dal,,,Bihar
55,Darbhanga,Kirti Azad,कीर्ति आज़ाद,Bharatiya Janata Party,,,Bihar
56,Muzaffarpur,Ajay Nishad,अजय निषाद,Bharatiya Janata Party,,,Bihar
57,Vaishali,Rama Kishore Singh,रामा किशोर सिंह,Lok Janshakti Party,,,Bihar
58,Gopalganj,Janak Ram,जनक राम,Bharatiya Janata Party,,,Bihar
59,Siwan,Om Prakash Yadav,ओम प्रकाश यादव,Bharatiya Janata Party,,,Bihar
60,Maharajganj,Janardan Singh Sigriwal,जनार्दन सिंह सिगरीवाल,Bharatiya Janata Party,,,Bihar
61,Saran,Rajiv Pratap Rudy,राजीव प्रताप रूडी,Bharatiya Janata Party,,,Bihar
62,Hajipur,Ram Vilas Paswan,राम विलास पासवान,Lok Janshakti Party,,,Bihar
63,Ujiarpur,Nityanand Rai,नित्यानंद राय,Bharatiya Janata Party,,,Bihar
64,Samastipur,Ram Chandra Paswan,राम चंद्र पासवान,Lok Janshakti Party,,,Bihar
65,Begusarai,Bhola Singh,भोला सिंह,Bharatiya Janata Party,,,Bihar
66,Khagaria,Mehboob Ali Kaiser,महबूब अली कैसर,Lok Janshakti Party,,,Bihar
67,Bhagalpur,Shailesh Kumar Mandal (Bulo Mandal),शैलेश कुमार मंडल (बुलो मंडल),Rashtriya Janata Dal,,,Bihar
68,Banka,Jay Prakash Narayan Yadav,जय प्रकाश नारायण यादव,Rashtriya Janata Dal,,,Bihar
69,Munger,Veena Devi,वीणा देवी,Lok Janshakti Party,,,Bihar
70,Nalanda,Kaushalendra Kumar,कौशलेंद्र कुमार,Janata Dal,,,Bihar
71,Patna Sahib,Shatrughan Sinha,शत्रुघन सिन्हा,Bharatiya Janata Party,,,Bihar
72,Pataliputra,Ram Kripal Yadav,राम कृपाल यादव,Bharatiya Janata Party,,,Bihar
73,Arrah,Raj Kumar Singh,राज कुमार सिंह,Bharatiya Janata Party,,,Bihar
74,Buxar,Ashwini Kumar Choubey,अश्विनी कुमार चौबे,Bharatiya Janata Party,,,Bihar
75,Sasaram,Chhedi Paswan,छेदी पासवान,Bharatiya Janata Party,,,Bihar
76,Karakat,Upendra Kushwaha,उपेंद्र कुशवाहा,Rashtriya Lok Samta Party,,,Bihar
77,Jahanabad,Arun Kumar,अरुण कुमार,Rashtriya Lok Samta Party,,,Bihar
78,Aurangabad,Sushil Kumar Singh,सुशील कुमार सिंह,Bharatiya Janata Party,,,Bihar
79,Gaya,Hari Manjhi,हरि मांझी,Bharatiya Janata Party,,,Bihar
80,Nawada,Giriraj Singh,गिरिराज सिंह,Bharatiya Janata Party,,,Bihar
81,Jamui,Chirag Paswan,चिराग पासवान,Lok Janshakti Party,,,Bihar
82,Sarguja,Kamalbhan Singh Marabi,कमलभान सिंह मराबी,Bharatiya Janata Party,,,Chhattisgarh
83,Raigarh,Vishnu Deo Sai,विष्णु देव साई,Bharatiya Janata Party,,,Chhattisgarh
84,Janjgir-Champa,Kamla Devi Patle,कमला देवी पाटले,Bharatiya Janata Party,,,Chhattisgarh
85,Korba,Banshilal Mahto,बांसी लाल महतो,Bharatiya Janata Party,,,Chhattisgarh
86,Bilaspur,Lakhan Lal Sahu,लखन लाल साहू,Bharatiya Janata Party,,,Chhattisgarh
87,Rajnandgaon,Abhishek Singh,अभिषेक सिंह,Bharatiya Janata Party,,,Chhattisgarh
88,Durg,Tamradhwaj Sahu,तमराध्वज साहू,Indian National Congress,,,Chhattisgarh
89,Raipur,Ramesh Bais,रमेश बाईस,Bharatiya Janata Party,,,Chhattisgarh
90,Mahasamund,Chandu Lal Sahu,चंदू लाल साहू,Bharatiya Janata Party,,,Chhattisgarh
91,Bastar,Dinesh Kashyap,दिनेश कश्यप,Bharatiya Janata Party,,,Chhattisgarh
92,Kanker,Vikram Usendi,विक्रम उसेंडी,Bharatiya Janata Party,,,Chhattisgarh
93,North Goa,Shripad Yesso Naik,श्रीपाद येसो नायक,Bharatiya Janata Party,,,Goa
94,South Goa,Narendra Keshav Sawaikar,नरेंद्र केशव सावैकर,Bharatiya Janata Party,,,Goa
95,Kachchh,Vinodbhai Chavda,विनोदभाई चावड़ा,Bharatiya Janata Party,,,Gujurat
96,Banaskantha,Haribhai Parthibhai Chaudhary,हरिभाई पार्थिभाई चौधरी,Bharatiya Janata Party,,,Gujurat
97,Patan,Liladhar Vaghela,लीलाधर वाघेला,Bharatiya Janata Party,,,Gujurat
98,Mahesana,Jayshreeben Patel,जयश्रीबेन पटेल,Bharatiya Janata Party,,,Gujurat
99,Sabarkantha,Dipsinh Shankarsinh Rathod,दीपसिंह शंकरसिंह राठौड़,Bharatiya Janata Party,,,Gujurat
100,Gandhinagar,L. K. Advani,लाल कृष्ण आडवाणी,Bharatiya Janata Party,,,Gujurat
101,Ahmedabad East,Paresh Rawal,परेश रावल,Bharatiya Janata Party,,,Gujurat
102,Ahmedabad West,Kirit Premjibhai Solanki,कीर्ति प्रेमजीभाई सोलंकी,Bharatiya Janata Party,,,Gujurat
103,Surendranagar,Devjibhai Govindbhai Fatepara,देवजीभाई गोविंदभाई फतेपरा,Bharatiya Janata Party,,,Gujurat
104,Rajkot,Mohan Kundariya,मोहन कुंडारिया,Bharatiya Janata Party,,,Gujurat
105,Porbandar,Vitthal Radadiya,विट्ठल रदड़िया,Bharatiya Janata Party,,,Gujurat
106,Jamnagar,Poonamben Maadam,पूनमबेन मादम,Bharatiya Janata Party,,,Gujurat
107,Junagadh,Rajesh Chudasama,राजेश चुड़ासामा,Bharatiya Janata Party,,,Gujurat
108,Amreli,Naranbhai Kachhadia,नारनभाई कच्छडिया,Bharatiya Janata Party,,,Gujurat
109,Bhavnagar,Bharti Shiyal,भारती शियाल,Bharatiya Janata Party,,,Gujurat
110,Anand,Dilip Patel,दिलीप पटेल,Bharatiya Janata Party,,,Gujurat
111,Kheda,Devusinh Jesingbhai Chauhan,देवुसिंह जेसिंगभाई चौहान,Bharatiya Janata Party,,,Gujurat
112,Panchmahal,Prabhatsinh Pratapsinh Chauhan,प्रभातसिंह प्रतापसिंह चौहान,Bharatiya Janata Party,,,Gujurat
113,Dahod,Jasvantsinh Sumanbhai Bhabhor,जसवंतसिंह सुमनभाई भाभोर,Bharatiya Janata Party,,,Gujurat
114.1,Vadodara,Narendra Modi,नरेंद्र मोदी,Bharatiya Janata Party,,,Gujurat
114.2,Vadodara,Ranjanben Dhananjay Bhatt,रंजनबेन धनंजय भट्ट,Bharatiya Janata Party,,,Gujurat
115,Chhota Udaipur,Ramsinh Rathwa,रामसिंह राठवा,Bharatiya Janata Party,,,Gujurat
116,Bharuch,Mansukhbhai Vasava,मनसुखभाई वासावा,Bharatiya Janata Party,,,Gujurat
117,Bardoli,Parbhubhai Vasava,पार्भुभाई वासावा,Bharatiya Janata Party,,,Gujurat
118,Surat,Darshana Jardosh,दर्शना जरदोश,Bharatiya Janata Party,,,Gujurat
119,Navsari,C. R. Patil,सी॰ आर॰ पाटिल,Bharatiya Janata Party,,,Gujurat
120,Valsad,K C Patel,के॰ सी॰ पटेल,Bharatiya Janata Party,,,Gujurat
121,Ambala,Rattan Lal Kataria,रत्तन लाल कटारिया,Bharatiya Janata Party,,,Haryana
122,Kurukshetra,Raj Kumar Saini,राज कुमार सैनी,Bharatiya Janata Party,,,Haryana
123,Sirsa,Charanjeet Singh Rori,चरणजीत सिंह रोड़ी,Indian National Lok Dal,,,Haryana
124,Hisar,Dushyant Chautala,दुष्यंत चौटाला,Indian National Lok Dal,,,Haryana
125,Karnal,Ashwini Kumar Chopra,अश्विनी कुमार चोपड़ा,Bharatiya Janata Party,,,Haryana
126,Sonipat,Ramesh Chander Kaushik,रमेश चंदर कौशिक,Bharatiya Janata Party,,,Haryana
127,Rohtak,Deepender Singh Hooda,दीपेंद्र सिंह हुड्डा,Indian National Congress,,,Haryana
128,Bhiwani–Mahendragarh,Dharambir Singh,धरमबीर सिंह,Bharatiya Janata Party,,,Haryana
129,Gurgaon,Rao Inderjit Singh,राव इंद्रजीत सिंह,Bharatiya Janata Party,,,Haryana
130,Faridabad,Krishan Pal Gurjar,कृष्ण पाल गुर्जर,Bharatiya Janata Party,,,Haryana
131,Kangra,Ram Swaroop Sharma,राम स्वरूप शर्मा,Bharatiya Janata Party,,,Himachal Pradesh
132,Mandi,Shanta Kumar,शांता कुमार,Bharatiya Janata Party,,,Himachal Pradesh
133,Hamirpur,Anurag Singh Thakur,अनुराग सिंह ठाकुर,Bharatiya Janata Party,,,Himachal Pradesh
134,Shimla,Virender Kashyap,वीरेंद्र कश्यप,Bharatiya Janata Party,,,Himachal Pradesh
135,Baramulla,Muzaffar Hussain Baig,मुजफ्फर हुसैन बेग,Jammu & Kashmir People's Democratic Party,,,Jammu and Kashmir
136.1,Srinagar,Tariq Hameed Karra,तारिक हमीद कर्रा,Jammu & Kashmir People's Democratic Party,,,Jammu and Kashmir
136.2,Srinagar,Farooq Abdullah,फ़रूख़ अब्दुल्ला,Jammu & Kashmir National Conference,,,Jammu and Kashmir
137,Anantnag,Mehbooba Mufti,महबूबा मुफ्ती,Jammu & Kashmir People's Democratic Party,,,Jammu and Kashmir
138,Ladakh,Thupstan Chhewang ,थुप्स्तान छेवांग,Bharatiya Janata Party,,,Jammu and Kashmir
139,Udhampur,Jitendra Singh,जितेंद्र सिंह,Bharatiya Janata Party,,,Jammu and Kashmir
140,Jammu,Jugal Kishore Sharma,जुगल किशोर शर्मा,Bharatiya Janata Party,,,Jammu and Kashmir
141,Rajmahal,Vijay Kumar Hansdak,विजय कुमार हंसदक,Jharkhand Mukti Morcha,,,Jharkhand
142,Dumka,Shibu Soren,शिबू सोरेन,Jharkhand Mukti Morcha,,,Jharkhand
143,Godda,Nishikant Dubey,निशिकांत दुबे,Bharatiya Janata Party,,,Jharkhand
144,Chatra,Sunil Kumar Singh,सुनील कुमार सिंह,Bharatiya Janata Party,,,Jharkhand
145,Kodarma,Ravindra Kumar Ray,रवींद्र कुमार राय,Bharatiya Janata Party,,,Jharkhand
146,Giridih,Ravindra Kumar Pandey,रवींद्र कुमार पांडेय,Bharatiya Janata Party,,,Jharkhand
147,Dhanbad,Pashupati Nath Singh,पशुपति नाथ सिंह,Bharatiya Janata Party,,,Jharkhand
148,Ranchi,Ram Tahal Choudhary,राम तहल चौधरी,Bharatiya Janata Party,,,Jharkhand
149,Jamshedpur,Bidyut Baran Mahato,बिद्युत बरन महतो,Bharatiya Janata Party,,,Jharkhand
150,Singhbhum,Laxman Giluwa,लक्ष्मण गिलुवा,Bharatiya Janata Party,,,Jharkhand
151,Khunti,Karia Munda,कारिया मुंडा,Bharatiya Janata Party,,,Jharkhand
152,Lohardaga,Sudarshan Bhagat,सुदर्शन भगत,Bharatiya Janata Party,,,Jharkhand
153,Palamau,Vishnu Dayal Ram,विष्णु दयाल राम,Bharatiya Janata Party,,,Jharkhand
154,Hazaribagh,Jayant Sinha,जयंत सिन्हा,Bharatiya Janata Party,,,Jharkhand
155,Chikkodi,Prakash Hukkeri,प्रकाश हुक्केरी,Indian National Congress,,,Karnataka
156,Belgaum,Suresh Angadi,सुरेश अंगडी,Bharatiya Janata Party,,,Karnataka
157,Bagalkot,P. C. Gaddigoudar,पी॰ सी॰ गड्डीगौडर,Bharatiya Janata Party,,,Karnataka
158,Bijapur,Ramesh Jigajinagi,रमेश जिगजिनागी,Bharatiya Janata Party,,,Karnataka
159,Gulbarga,Mallikarjun Kharge,मल्लिकार्जुन खड़गे,Indian National Congress,,,Karnataka
160,Raichur,B. V. Nayak,बी॰ वी॰ नायक,Indian National Congress,,,Karnataka
161,Bidar,Bhagwanth Khuba,भगवंत खुबा,Bharatiya Janata Party,,,Karnataka
162,Koppal,Karadi Sanganna Amarappa,करदी संगन्ना अमरप्पा,Bharatiya Janata Party,,,Karnataka
163.1,Bellary,B. Sriramulu,बी॰ श्रीरामुलु,Bharatiya Janata Party,,,Karnataka
163.2,Bellary,V. S. Ugrappa,वी.एस. उग्रप्पा,Indian National Congress,,,Karnataka
164,Haveri,Shivkumar Chanabasappa Udasi,शिवकुमार चनबसप्पा उदासी,Bharatiya Janata Party,,,Karnataka
165,Dharwad,Pralhad Joshi,प्रहलाद जोशी,Bharatiya Janata Party,,,Karnataka
166,Uttara Kannada,Anantkumar Hegde,अनंतकुमार हेगड़े,Bharatiya Janata Party,,,Karnataka
167,Davanagere,G. M. Siddeshwara,जी॰ एम॰ सिद्देश्वरा,Bharatiya Janata Party,,,Karnataka
168.1,Shimoga,B. S. Yediyurappa,बी॰ एस॰ येदियुरप्पा,Bharatiya Janata Party,,,Karnataka
168.2,Shimoga,B. Y. Raghavendra,बी. वाई. राघवेंद्र,Bharatiya Janata Party,,,Karnataka
169,Udupi Chikmagalur,Shobha Karandlaje,शोभा करंदलाजे,Bharatiya Janata Party,,,Karnataka
170,Hassan,H. D. Deve Gowda,एच॰ डी॰ देवे गौड़ा,Janata Dal (Secular),,,Karnataka
171,Dakshina Kannada,Nalin Kumar Kateel,नलिन कुमार कटील,Bharatiya Janata Party,,,Karnataka
172,Chitradurga,B. N. Chandrappa,बी॰ एन॰ चंद्रप्पा,Indian National Congress,,,Karnataka
173,Tumkur,S. P. Muddahanumegowda,एस॰ पी॰ मुद्दहनुमेगौड़ा,Indian National Congress,,,Karnataka
174.1,Mandya,C. S. Puttaraju,सी॰ एस॰ पुत्तराजू,Janata Dal (Secular),,,Karnataka
174.2,Mandya,L. R. Shivarame Gowda,एल.आर. शिवरमे गौड़ा,Janata Dal (Secular),,,Karnataka
175,Mysore,Pratap Simha,प्रताप सिम्हा,Bharatiya Janata Party,,,Karnataka
176,Chamarajanagar,R. Dhruvanarayana,आर॰ ध्रुवनारायण,Indian National Congress,,,Karnataka
177,Bangalore Rural,D. K. Suresh,डी॰ के॰ सुरेश,Indian National Congress,,,Karnataka
178,Bangalore North,D. V. Sadananda Gowda,डी॰ वी॰ सदानंद गौड़ा,Bharatiya Janata Party,,,Karnataka
179,Bangalore Central,P. C. Mohan,पी॰ सी॰ मोहन,Bharatiya Janata Party,,,Karnataka
180,Bangalore South,Ananth Kumar,अनंत कुमार,Bharatiya Janata Party,,,Karnataka
181,Chikballapur,Veerappa Moily,वीरप्पा मोइली,Indian National Congress,,,Karnataka
182,Kolar,K. H. Muniyappa,के॰ एच॰ मुनियप्पा,Indian National Congress,,,Karnataka
183,Kasaragod,P. Karunakaran,पी॰ करुणाकरण,Communist Party of India (Marxist),,,Kerala
184,Kannur,P. K. Sreemathy,पी॰ के॰ श्रीमती,Communist Party of India (Marxist),,,Kerala
185,Vatakara,Mullappally Ramachandran,मुल्लापल्ली रामचंद्रन,Indian National Congress,,,Kerala
186,Wayanad,M. I. Shanavas,एम॰ आई॰ शनवास,Indian National Congress,,,Kerala
187,Kozhikode,M. K. Raghavan,एम॰ के॰ राघवन,Indian National Congress,,,Kerala
188.1,Malappuram,E. Ahamed,ई॰ अहमद,Indian Union Muslim League,,,Kerala
188.2,Malappuram,P. K. Kunhalikutty,पी.के. कुन्हालिकुट्टी,Indian Union Muslim League,,,Kerala
189,Ponnani,E. T. Muhammed Basheer,ई॰ टी॰ मुहम्मद बशीर,Indian Union Muslim League,,,Kerala
190,Palakkad,M. B. Rajesh,एम॰ बी॰ राजेश,Communist Party of India (Marxist),,,Kerala
